"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"754041336693526528","","","2016-07-15 19:53:58 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @EFDC_Explorer: EE8.1 is now available with new SEDZLJ Sediment Model Display &amp; Offline/Dongle Activation https://t.co/SPm401efnw #EFDC…","753970557973106688","351972911","2016-07-15 15:12:43 +0000","http://www.efdc-explorer.com/efdc-explorer,http://www.efdc-explorer.com/efdc-explorer"
"754041325184364544","","","2016-07-15 19:53:55 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @EFDC_Explorer: Current EE8 users or those with active maintenance, download 8.1 now at no cost. To upgrade from an older version, conta…","753971211105923072","351972911","2016-07-15 15:15:19 +0000",""
"754041271862210560","","","2016-07-15 19:53:43 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @EFDC_Explorer: Join our free training on EFDC_Explorer/EFDC+ Modeling System led by developer Paul Craig. Edmonds, WA 12-16 Sept https:…","743885022881583104","351972911","2016-06-17 19:16:24 +0000","http://www.efdc-explorer.com/support/training.html"
"713010842363531264","713008064320901120","558797310","2016-03-24 14:33:26 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@ManUtd Diego forlan","","","",""
"712711318667571200","","","2016-03-23 18:43:14 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @EFDC_Explorer: Sydney Harbor animation using #EFDC_Explorer with labels, bridges, Opera House. https://t.co/B9cGCN580X","712710174914424832","351972911","2016-03-23 18:38:41 +0000","https://www.youtube.com/watch?v=X353GFUiVHE&ab_channel=EFDCExplorer,https://www.youtube.com/watch?v=X353GFUiVHE&ab_channel=EFDCExplorer"
"711600156249038849","","","2016-03-20 17:07:52 +0000","<a href=""https://my.ringplus.net"" rel=""nofollow"">RingPlus</a>","I'm getting an incredible amount of free cellphone service - all from https://t.co/ChX0Jg1GYX! Thanks @ringplusmobile!","","","","http://ringplus.net"
"710859546193842176","","","2016-03-18 16:04:57 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I think it's time for Louis Van Gaal to go.","","","",""
"710510790793531393","710450834484686850","1283561876","2016-03-17 16:59:07 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@BSchweinsteiger Good luck Bastian.","","","",""
"709876462900228096","","","2016-03-15 22:58:32 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @EFDC_Explorer: Sydney Harbor flyover using EFDC_Explorer. 

https://t.co/KMrUVcsQ3k","709874113985130496","351972911","2016-03-15 22:49:12 +0000","https://www.youtube.com/watch?v=LdPMeWizoTA&ab_channel=EFDCExplorer,https://www.youtube.com/watch?v=LdPMeWizoTA&ab_channel=EFDCExplorer"
"707693330415489026","707659395006664707","558797310","2016-03-09 22:23:32 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@ManUtd no Kathmandu, Nepal ?","","","",""
